"Inst Time","Flow (gpm)"
08/09/2017 08:45 AM,1010.95812988281
08/09/2017 09:00 AM,1040.47058105469
08/09/2017 09:15 AM,1040.47058105469
08/09/2017 09:30 AM,1022.94635009766
08/09/2017 09:45 AM,1021.57702636719
08/09/2017 10:00 AM,1014.44439697266
08/09/2017 10:15 AM,1006.95861816406
08/09/2017 10:30 AM,980.722778320313
08/09/2017 10:45 AM,962.042358398438
08/09/2017 11:00 AM,962.042358398438
08/09/2017 11:15 AM,955.977966308594
08/09/2017 11:30 AM,931.860046386719
08/09/2017 11:45 AM,912.573608398438
08/09/2017 12:00 PM,912.573608398438
08/09/2017 12:15 PM,906.208679199219
08/09/2017 12:30 PM,932.742492675781
08/09/2017 12:45 PM,927.787536621094
08/09/2017 01:00 PM,927.787536621094
08/09/2017 01:15 PM,907.313537597656
08/09/2017 01:30 PM,907.313537597656
08/09/2017 01:45 PM,902.042358398438
08/09/2017 02:00 PM,886.613952636719
08/09/2017 02:15 PM,874.086059570313
08/09/2017 02:30 PM,860.653869628906
08/09/2017 02:45 PM,860.653869628906
08/09/2017 03:00 PM,862.914306640625
08/09/2017 03:15 PM,867.127014160156
08/09/2017 03:30 PM,881.577209472656
08/09/2017 03:45 PM,898.342651367188
08/09/2017 04:00 PM,881.577209472656
08/09/2017 04:15 PM,881.577209472656
08/09/2017 04:30 PM,876.560302734375
08/09/2017 04:45 PM,872.706176757813
08/09/2017 05:00 PM,872.706176757813
08/09/2017 05:15 PM,876.832702636719
08/09/2017 05:30 PM,890.484741210938
08/09/2017 05:45 PM,901.289245605469
08/09/2017 06:00 PM,917.283569335938
08/09/2017 06:15 PM,920.174011230469
08/09/2017 06:30 PM,936.789672851563
08/09/2017 06:45 PM,922.735229492188
08/09/2017 07:00 PM,931.705871582031
08/09/2017 07:15 PM,924.016174316406
08/09/2017 07:30 PM,928.873352050781
08/09/2017 07:45 PM,928.873352050781
08/09/2017 08:00 PM,928.873352050781
08/09/2017 08:15 PM,933.446166992188
08/09/2017 08:30 PM,927.585693359375
08/09/2017 08:45 PM,932.152160644531
08/09/2017 09:00 PM,925.667053222656
08/09/2017 09:15 PM,926.715270996094
08/09/2017 09:30 PM,926.715270996094
08/09/2017 09:45 PM,939.238037109375
08/09/2017 10:00 PM,908.937744140625
08/09/2017 10:15 PM,898.796875
08/09/2017 10:30 PM,886.152160644531
08/09/2017 10:45 PM,873.331665039063
08/09/2017 11:00 PM,873.331665039063
08/09/2017 11:15 PM,858.920532226563
08/09/2017 11:30 PM,832.7568359375
08/09/2017 11:45 PM,814.797912597656
08/10/2017 12:00 AM,805.973754882813
08/10/2017 12:15 AM,764.598571777344
08/10/2017 12:30 AM,748.057006835938
08/10/2017 12:45 AM,710.901306152344
08/10/2017 01:00 AM,708.967041015625
08/10/2017 01:15 AM,704.365905761719
08/10/2017 01:30 AM,701.240661621094
08/10/2017 01:45 AM,708.545532226563
08/10/2017 02:00 AM,708.917785644531
08/10/2017 02:15 AM,726.7529296875
08/10/2017 02:30 AM,726.7529296875
08/10/2017 02:45 AM,726.7529296875
08/10/2017 03:00 AM,694.487670898438
08/10/2017 03:15 AM,687.984924316406
08/10/2017 03:30 AM,687.86376953125
08/10/2017 03:45 AM,687.620178222656
08/10/2017 04:00 AM,678.6611328125
08/10/2017 04:15 AM,688.946655273438
08/10/2017 04:30 AM,681.281127929688
08/10/2017 04:45 AM,681.281127929688
08/10/2017 05:00 AM,701.465942382813
08/10/2017 05:15 AM,744.100891113281
08/10/2017 05:30 AM,769.364318847656
08/10/2017 05:45 AM,779.7109375
08/10/2017 06:00 AM,779.7109375
08/10/2017 06:15 AM,797.536987304688
08/10/2017 06:30 AM,849.607299804688
08/10/2017 06:45 AM,895.060119628906
08/10/2017 07:00 AM,922.756896972656
08/10/2017 07:15 AM,925.185668945313
08/10/2017 07:30 AM,942.590148925781
08/10/2017 07:45 AM,950.20703125
08/10/2017 08:00 AM,975.514404296875
